X,Y
0.634220668,0.855716822
0.69224877,0.750053223
0.661454912,0.689738099
0.524905437,0.756276754
0.660372325,0.757785614
0.661565186,0.770452803
0.657528903,0.793829796
0.511963005,0.751666463
0.710661054,0.815786808
0.596504417,0.822273873
0.658639948,0.73029956
0.684337464,0.721146155
0.678792909,0.656623792
0.641517757,0.702823842
0.632790656,0.790846181
0.626420822,0.782295286
0.558079089,0.640439719
0.600135175,0.717246889
0.598296081,0.677611413
0.539820952,0.819951675
0.50097587,0.699420639
0.773866129,0.637919096
0.735458588,0.697286532
0.67972965,0.780411278
0.620251378,0.794498449
0.671615581,0.749962279
0.658285409,0.766169087
0.710556708,0.821557681
0.740697219,0.82113706
0.718406356,0.81095949
0.778842711,0.846976803
0.644300706,0.772214862
0.699798423,0.860370518
0.616777139,0.706715873
0.682718919,0.800708544
0.822976226,0.788842291
0.666291575,0.733972497
0.759536373,0.776952268
0.733620679,0.705340331
0.67302662,0.750689838
0.67358985,0.826555521
0.649044881,0.749934375
0.659733207,0.76665895
0.645820834,0.776667032
0.651073694,0.670431927
0.666155214,0.767069236
0.780239521,0.635290993
0.633462975,0.744034319
0.676768839,0.772905217
0.591815972,0.821319984
0.567948064,0.713366225
0.470227071,0.689655422
0.607804589,0.616259722
0.655283097,0.760520164
0.612338887,0.727135088
0.757075947,0.741666649
0.550676469,0.787159809
0.609134997,0.778512802
0.561252149,0.703331273
0.625543369,0.731964474
0.6779534,0.75114663
0.669841703,0.749333931
0.6502496,0.745310649
0.735381514,0.722101077
0.595002075,0.710427049
0.703682931,0.877621127
0.684374222,0.725578689
0.6943594,0.686719346
0.79567558,0.785700555
0.518874726,0.687141
0.646799075,0.752720598
0.751427047,0.832637466
0.606106599,0.740608381
0.678617419,0.759286206
0.69006818,0.709668485
0.638117033,0.902352995
0.618567617,0.769160971
0.583354479,0.729340504
0.6841015,0.76949168
0.724991996,0.807626563
0.684961167,0.745670296
0.60552914,0.704428814
0.533906445,0.68779415
0.614077192,0.720565347
0.654729353,0.724577261
0.530599395,0.870784752
0.744298334,0.821276578
0.745827948,0.667530988
0.641498785,0.786445684
0.569895061,0.86111668
0.592957847,0.770912695
0.652662596,0.753159821
0.681926839,0.736389774
0.642666746,0.913595034
0.727810518,0.77394695
0.624558013,0.744996476
0.551379617,0.798812135
0.756149878,0.826681604
0.609598625,0.772565207
0.717226537,0.818383908
0.706755202,0.751687133
0.685947709,0.72793189
0.687503409,0.756964009
0.668405763,0.771706397
0.621638703,0.806016424
0.696543547,0.746207698
0.687847276,0.819008121
0.634030948,0.789369359
0.670039723,0.775293556
0.679646647,0.755978082
0.721317365,0.757081824
0.660422126,0.708231968
0.746832276,0.672670413
0.656899271,0.779738492
0.638317425,0.781677273
0.728272959,0.781253553
0.590172526,0.789344555
0.744789233,0.765522138
0.661813008,0.758886255
0.655453845,0.779543167
0.48729946,0.766207326
0.684046956,0.737123534
0.645977352,0.802423064
0.618559317,0.78805479
0.680584573,0.806909338
0.640806308,0.770275047
0.670892275,0.790399724
0.656547104,0.741342141
0.652342444,0.734013836
0.65005158,0.757747376
0.518520187,0.850448214
0.737118634,0.674934737
0.704586471,0.866593015
0.767021996,0.85067661
0.711359459,0.759483598
0.69959566,0.658163655
0.669963835,0.860337447
0.716912314,0.676667859
0.530562637,0.732883225
0.686376949,0.800246585
0.544721646,0.844585363
0.629697042,0.78737477
0.707546096,0.83188097
0.642900338,0.776740408
0.711287129,0.778311276
0.664536669,0.819268554
0.649784787,0.824897842
0.639181834,0.715430056
0.754967688,0.766249698
0.675877157,0.851995312
0.550496235,0.763355994
0.671128239,0.789444802
0.7487022,0.692717581
0.804977767,0.687677369
0.723169503,0.760141916
0.652331772,0.768380704
0.750505721,0.633392516
0.635664908,0.835118818
0.67750163,0.695882053
0.668231458,0.775643901
0.592185925,0.683334746
0.665274204,0.765742266
0.743309421,0.599441102
0.739875497,0.854024005
0.678871169,0.833578954
0.669414834,0.770145863
0.687345705,0.761353137
0.48124622,0.854874548
0.652171696,0.753965925
0.635311555,0.768604966
0.627567439,0.739725801
0.631754313,0.769999111
0.650569752,0.784438694
0.624969467,0.779905913
0.605216102,0.732551482
0.661628031,0.794862229
0.705683287,0.745429498
0.6902662,0.813959641
0.655277168,0.684038536
0.662912195,0.711577296
0.603182546,0.846741173
0.661443054,0.76272868
0.647547282,0.746286241
0.650160669,0.754704853
0.665277761,0.755847866
0.683420881,0.776008714
0.688712871,0.700736241
0.641791664,0.744509714
0.687889963,0.737538987
0.72240351,0.773059203
0.591674868,0.726777509
0.547930278,0.778243067
0.569461078,0.691335837
0.682078615,0.871281849
0.58287188,0.758540044
0.734399715,0.630391332
0.544218889,0.707537479
0.664269876,0.756853428
0.85020217,0.770819683
0.613798542,0.78482211
0.657289382,0.755767255
0.78876623,0.708498602
0.598204779,0.738820485
0.547004209,0.748109275
0.655643564,0.760975922
0.563359222,0.704677879
0.662537499,0.769412103
0.751468548,0.829137118
0.609711271,0.826429438
0.706566669,0.793432946
0.69136776,0.725988975
0.639749807,0.746521871
0.665957195,0.718082962
0.660535958,0.765646154
0.666744531,0.75601322
0.598082647,0.788286287
0.619692891,0.853331583
0.59364558,0.734000401
0.642019328,0.79117379
0.644099128,0.808914262
0.729429063,0.798967154
0.653504476,0.818963682
0.715488231,0.68950867
0.625214917,0.773500493
0.7477038,0.814641728
0.663310607,0.85931845
0.677193336,0.685818164
0.735367285,0.737898634
0.63211478,0.747168821
0.653989447,0.742101738
0.657013103,0.815053048
0.589998221,0.792003663
0.583470682,0.725870126
0.602894409,0.719079223
0.605439023,0.762190244
0.654167309,0.762065195
0.642960811,0.786264828
0.692112409,0.810035572
0.677275153,0.752830146
0.61067884,0.79763295
0.690824687,0.779420184
0.640998399,0.768402407
0.688665441,0.764999204
0.588976107,0.605773146
0.699375111,0.725076425
0.62144424,0.778205862
0.682954882,0.760123313
0.681918539,0.707282213
0.679275508,0.752145991
0.707970593,0.856694481
0.776684651,0.786161481
0.668633426,0.848086745
0.662964368,0.757075623
0.661253335,0.777348086
0.655987431,0.796375222
0.720435169,0.73188283
0.732617537,0.682920326
0.601599573,0.716140047
0.634196953,0.819765651
0.75996087,0.64825892
0.558284224,0.695268174
0.671243256,0.78768791
0.61113061,0.790848248
0.682862394,0.781626634
0.753508033,0.753398552
0.618541531,0.69434839
0.644860378,0.769923668
0.719078674,0.66619265
0.648286002,0.759992063
0.644958795,0.738885593
0.674775597,0.761720018
0.742586115,0.799495255
0.658158534,0.758935861
0.742787692,0.714716965
0.665691587,0.757594423
0.656209166,0.732255911
0.57423964,0.783987069
0.512712397,0.67857977
0.655873599,0.754590138
0.569595067,0.733468166
0.646318847,0.773235926
0.597358155,0.754523996
0.747135827,0.742780725
0.591993834,0.736568563
0.746673386,0.726409596
0.580160076,0.683434992
0.650816387,0.750918234
0.628507737,0.768990449
0.658185807,0.782314922
0.673167724,0.676373321
0.567423964,0.670024741
0.686563111,0.745914193
0.671051165,0.776835487
0.597062904,0.720460967
0.749847631,0.775791686
0.676435644,0.746010306
0.4005075,0.703882111
0.593000534,0.783516842
0.65355072,0.755324932
0.815974388,0.794382701
0.251795814,0.693445141
0.254443588,0.710878673
0.233200925,0.743203413
0.24317306,0.791249233
0.212686311,0.708517204
0.255022233,0.719615592
0.188704571,0.649070191
0.403040256,0.785388449
0.448858718,0.512187661
0.249656726,0.727237402
0.209044881,0.684007532
0.244152487,0.710980986
0.470250786,0.620106282
0.314665323,0.821841884
0.199645462,0.60197826
0.315821426,0.595439523
0.232200154,0.66611204
0.274725796,0.677224897
0.191552736,0.67871102
0.106284461,0.668078725
0.268499437,0.718146004
0.284839035,0.719708604
0.116893342,0.66652646
0.22726626,0.745884223
0.252022292,0.699144704
0.28475959,0.729483122
0.145441394,0.714510272
0.270982392,0.661828325
0.191967748,0.792155582
0.337745894,0.64528874
0.195690994,0.663568681
0.425646529,0.639739029
0.144403866,0.66965476
0.253840043,0.706814053
0.234879943,0.745191801
0.424150116,0.801564254
0.193234126,0.831353902
0.361572301,0.745400561
0.2046173,0.683933122
0.149502579,0.92228338
0.191316772,0.835074379
0.217536017,0.691066103
0.257495702,0.71150392
0.309915219,0.606115223
0.255303255,0.708628818
0.034276398,0.659791364
0.083629573,0.694561283
0.425443766,0.761475086
0.368437778,0.635966879
0.193689453,0.689555176
0.38401494,0.576680053
0.223958025,0.642135636
0.317827711,0.709354311
0.343257248,0.768611167
0.350569752,0.650291747
0.279907512,0.727527805
0.128746072,0.690622746
0.257891741,0.683782236
0.317296496,0.871247744
0.255243968,0.708719763
0.297277524,0.649944503
0.210199798,0.678241827
0.189093496,0.599457637
0.519609889,0.744726741
0.2523128,0.716104909
0.16573546,0.62402725
0.205054841,0.520500859
0.257605976,0.692754785
0.197176736,0.653248493
0.236031304,0.714341817
0.183058042,0.782719007
0.293531748,0.835508434
0.287109741,0.792338505
0.260135175,0.702166557
0.428608526,0.625303581
0.331485149,0.708607116
0.103687674,0.607098049
0.258247465,0.746430926
0.119686963,0.576662485
0.147958736,0.613589247
0.240569159,0.672989754
0.251022707,0.707811347
0.238152606,0.659035901
0.178655363,0.700884027
0.469816802,0.77519331
0.266606984,0.6244179
0.375220253,0.586088725
0.187080097,0.775129235
0.180991285,0.724103934
0.291070137,0.630799551
0.185920436,0.675841086
0.272976819,0.691185985
0.317310725,0.770488974
0.233656252,0.730026725
0.221284164,0.734940855
0.233932531,0.694258478
0.213540049,0.881219655
0.141739491,0.718922137
0.247502223,0.769064858
0.374871643,0.50088258
0.231518349,0.670433994
0.240490899,0.617171239
0.17708899,0.757357759
0.233770084,0.823351777
0.35030533,0.62444167
0.199683405,0.864268751
0.322263592,0.592101428
0.197416257,0.686099266
0.254232525,0.521796825
0.093328986,0.567313754
0.218074346,0.866385288
0.213403688,0.701098987
0.299685777,0.669428431
0.500327266,0.676281342
0.194984289,0.629479815
0.28447501,0.793718182
0.345896721,0.735064871
0.255255825,0.708734232
0.199742693,0.738334756
0.263987668,0.501702118
0.158243908,0.68430827
0.110574495,0.7524705
0.396222209,0.708519271
0.272049564,0.731099463
0.217001245,0.649055722
0.252551135,0.709543436
0.251004921,0.710670947
0.297115077,0.704506324
0.251163811,0.710337137
0.213636094,0.803055545
0.125101085,0.694566451
0.248213672,0.682737403
0.261384953,0.812001224
0.289238157,0.646507196
0.399267208,0.748350072
0.26913974,0.704965183
0.277711508,0.753697223
0.112491848,0.685420279
0.204059999,0.712910467
0.24824213,0.757927199
0.223544199,0.694752475
0,0.725152901
0.440869153,0.825831061
0.351628624,0.713855054
0.257554989,0.515958777
0.300783779,0.805097673
0.195247525,0.572113169
0.156107192,0.696332644
0.173817513,0.669899692
0.255773997,0.556079982
0.279599217,0.764867954
0.256205609,0.709025669
0.171600166,0.600142825
0.22372799,0.782527816
0.288820774,0.845414203
0.262353708,0.69557718
0.343468311,0.832263352
