X,Y,Z
0.5963,0.4118,0.5136
0.4332,0.2259,0.3956
0.2668,0.1659,0.3743
0.1907,0.7996,0.5132
0.3931,0.4055,0.759
0.3539,0.6042,0.4521
0.7534,0.6536,0.3636
1,0.696,0.4012
0.6054,0.291,0.389
0.4118,0.3935,0.629
0.7675,0.2634,0.8702
0.2873,0.6644,0.4577
0.845,0.4932,0.493
0.3044,0.7459,0.5219
0.4817,0.3548,0.5092
0.6,0.3088,0.4106
0.4929,0.6396,0.4861
0.8535,0.1353,0.9424
0.4203,0.7213,0.7639
0.1897,0.5506,0.8709
0.9369,0.4956,0.3623
0.4128,0.094,0.4123
0.397,0.6409,0.7955
0.8115,0.6592,0.4393
0.6516,0.7022,0.4549
0.28,0.0868,0.4603
0.7191,0.4499,0.5699
0.3164,0.2165,0.3793
0.1909,0.1328,0.1718
0.2613,0.3743,0.3289
0.3734,0.2111,0.3408
0.1257,0.1006,0.3691
0.5031,0.2005,0.7751
0.565,0.2887,0.2867
0.8628,0.8228,0.3309
0.4299,0.6357,0.6372
0.6882,0.7606,0.6505
0.3041,0.384,0.1431
0.3316,0.7666,0.5317
0.4017,0.4658,0.6002
0.8869,0.0397,0.9097
0.9868,0.6998,0.5136
0.304,0.5768,0.5676
0.5896,0.6056,0.3843
0.5179,0.1183,0.4787
0.5387,0.3657,0.7687
0.385,0.5221,0.3428
0.2981,0.283,0.349
0.6222,0.6851,0.4069
0.7633,0.605,0.5847
0.3539,0,0.251
0.2145,0.6725,0.4987
0.9442,0.4904,0.4573
0.9165,0.7229,0.439
0.7641,0,0.7676
0.3277,0.3052,0.2921
0.6772,0.4939,0.3014
0.736,0.0781,0.9208
0.8616,0,0.9066
0.416,0.2361,0.7884
0.2846,0.632,0.5871
0.2817,0.3672,0.1649
0.4841,0.5734,0.7366
1,0.5827,0.4054
0.8054,0.728,0.4803
0.7509,0,0.7037
0.1208,0.5245,0.5983
0.5354,0.639,0.6313
0.3412,0.5418,0.5852
0.232,0.1716,0.1679
0.0411,0.2982,0.1407
0.4373,0.2955,0.8422
0.3918,0.5964,0.5405
0.9347,0.7709,0.4292
0.8452,0,0.8236
0.8854,0.8131,0.6588
0.3487,0.3581,0.687
0.4776,0.1812,0.5523
0.8243,0.7807,0.4146
0.8266,0.8635,0.4508
0.8493,0.532,0.4948
0.5407,0.4556,0.7088
0.3963,0.1854,0.4858
0.4869,0.5536,0.4806
0.2861,0.7172,0.4933
0.9083,0.1614,0.8839
0.3779,0.2596,0.4067
0.1524,0.3626,0
0.4154,0.8165,0.4307
0,0.3732,0.0476
0.6148,0.2932,0.7832
0.5545,0.789,0.2624
0.3865,0.5557,0.3045
0.7418,0.8794,0.2551
0.2115,0.4577,0.1276
0.2818,0.4185,0.3835
0.2334,0.2478,0.2589
0.0686,0.4808,0.236
0.3174,0.3239,0.0925
0.1103,0.2691,0.1551
0.7288,0.249,0.9563
0.45,0.5607,0.5788
0.2425,0.2889,0.1641
0.0399,0.3645,0.2371
0.4097,0.388,0.6453
0.5771,0.6538,0.394
0.292,0.4365,0.8558
0.3699,0.0552,0.0777
0.8678,0.1828,0.8359
1,0.4755,0.5096
0.8156,0,0.7869
0.4303,0.3443,0.5458
0.3992,0.3997,0.5171
0.4716,0.5219,0.8059
0.2768,0.7146,0.6702
0.3124,0.6314,0.5239
0.2849,0.2626,0.3357
0.3457,0.1756,0.3924
0.7371,0.7029,0.2833
0.362,0.4658,0.446
0.3801,0.1978,0.3134
0.6173,0.4367,0.8977
0.6774,0.4601,0.607
0.8801,0.7031,0.5422
0.3186,0.135,0.3121
0.385,0.35,0.564
0.4989,0.4383,0.5936
0.3059,0.6377,0.1828
0.0845,0.2653,0.0045
0.8792,0.6969,0.4571
0.4377,0.4876,0.3187
0.2529,0.1001,0.3029
0.8913,0.18,0.8467
0.6313,0.5268,0.5775
0.5692,0.567,0.4668
0.5085,0.6268,0.3376
0.8743,0.7726,0.4747
0.6135,0.4627,0.8554
0.3154,0.7626,0.437
0.6171,0.3703,0.5939
0.4772,0.6629,0.6208
0.2324,0.7204,0.4301
0.5095,0.4685,0.3623
0.1051,0.4569,0.0199
0.8455,0.5944,0.43
0.0275,0.2333,0.1874
0.4129,0.3037,0.7526
0.9592,0.1287,0.9556
0.1922,0.2387,0.1507
0.7244,0.1912,0.9156
0.7064,0.1922,1
0.1125,0.3775,0.2408
0.5275,0.6304,0.4985
0.3402,0.6029,0.5146
0.5849,0.5344,0.7049
0.4464,0.6025,0.4943
0.4123,0.3244,0.3845
1,0.7021,0.3552
0.3295,0.2695,0
0.5366,0.4076,0.6371
0.3935,0.1879,0.3492
0.3592,0.1742,0.3838
0.4504,0.3175,0.5667
0.8007,0.617,0.4728
0.9278,0.6409,0.4752
0.0184,0.2242,0.2568
0.3527,0.5368,0.4838
0.5204,0.4349,0.5069
0.8584,0.148,0.8409
0.217,0.7425,0.5557
0.3814,0.1559,0.2422
0.2844,0.3239,0
0.2737,0.0702,0.3656
0.8689,0.1242,0.7222
0.3111,0.2938,0.3856
0.8838,0.6543,0.5241
0.778,0.2777,0.8828
0.5298,0.6274,0.4423
0.2799,0.2193,0.0682
0.286,0.1816,0.4441
0.569,0.3713,0.8686
0.7816,0.0772,0.8253
0.9507,0.7812,0.4457
0.2548,0.1695,0.2154
0.489,0.6407,0.6261
0.2822,0.387,0.7513
0.3766,0.5411,0.3523
0.5251,0.2347,0.5221
0.3831,0.3148,0.7139
0.402,0.2978,0.6428
0.8909,0.698,0.5555
0.4834,0.3605,0.6431
0.4942,0.3381,0.3392
0.825,0.8246,0.3611
0.518,0.5765,0.6506
0.4916,0.5644,0.4378
0.2323,0.8197,0.5773
0.2213,0.3962,0.6208
0.2224,0.0863,0.2356
0.6162,0.5454,0.5709
0.6936,0.6662,0.6637
0.3702,0.6494,0.4594
0.355,0.5668,0.5299
0.3888,0.5939,0.4767
0.6516,0.5318,0.7217
0.4872,0.5129,0.3395
0.9527,0.8637,0.4913
0.1619,0.3297,0.2065
0.9007,0.4931,0.4163
0.3057,0.7179,0.1462
0.4793,0.3526,0.8454
0.8703,0.8493,0.3802
0.4217,0.4647,0.6404
0.2646,0.1782,0.5356
0.299,0.6575,0.525
0.3485,0.5799,0.3489
0.8449,0.7831,0.359
0.5372,0.549,0.6805
0.2986,0.6597,0.6934
0,0.4164,0.1412
0.4773,0.0506,0.2433
0.3826,0.6926,0.6218
0.4931,0.2876,0.7979
0.3576,0.0425,0.2057
0.2722,0.4147,0.4496
0.2449,0.4058,0.1136
0.8246,0.8695,0.4301
0.4276,0.5659,0.5647
0.2821,0.0986,0.3201
0.0355,0.2363,0.07
0.5601,0.4869,0.661
0.1559,0.4753,0.5355
0.2734,0.6806,0.6668
0.8635,0.8247,0.2555
0.3171,0.3665,0.7326
0.6851,0.5303,0.5698
0.9399,0.8646,0.3121
0.6892,0.795,0.4257
0.855,0.2327,0.9116
0.2327,0.5368,0.3753
0.5546,0.2183,0.7849
0.3272,0.5551,0.3231
0.2123,0.5065,0.5842
0.8264,0.0185,0.9512
0.3932,0.1646,0.7657
0.8994,0.8994,0.3907
0.1394,0.6753,0.529
0.4586,0.645,0.6323
0.6711,0.5464,0.6942
0.5107,0.4365,0.605
0.2063,0.3837,0.2201
0.4744,0.4997,0.502
0.2263,0.6369,0.3446
0.1457,0.2677,0.3969
0.2168,0.1362,0.2697
0.339,0.5613,0.4922
0.4366,0.1811,0.744
0.3569,0.7576,0.4773
1,0.7743,0.4292
0.2644,0.6873,0.331
0.3507,0.3137,0.0758
0.7263,0.7378,0.2479
0.5233,0.5708,0.4807
0.5569,0.2393,0.3498
0.3824,0.8809,0.5061
0.8215,0.713,0.2751
0.3816,0.6211,0.6129
0.851,0.1348,0.8122
0.531,0.3679,0.9231
0.0445,0.3279,0.0901
0.8593,0.8834,0.2088
1,0.568,0.4735
0.3277,0.4098,0.7308
0.3562,0.5558,0.7004
0.282,0.4591,0.5879
0.2948,0.1564,0.2767
0.509,0.4902,0.4047
0.9144,0.2252,0.887
0.7687,0.5419,0.5001
0.4596,0.2785,0.5452
0.7859,0.8345,0.4409
0.7606,0.8935,0.2795
0.3,0.7096,0.3491
0.3094,0.3487,0.63
0.3307,0.4789,0.7228
0.5293,0.7711,0.473
0.1435,0.3976,0.3772
0.7779,0.6617,0.2737
0.4979,0.569,0.553
0.8928,0.5912,0.5479
0.7217,0.6832,0.4213
0.8784,0.5709,0.4358
0.4246,0.5459,0.5183
0.7044,0.5612,0.4022
0.4442,0.6887,0.7005
0.419,0.7253,0.6839
0.7862,0.5603,0.4575
1,0.1177,0.8773
0.7055,0.9029,0.3004
0.3103,0.2372,0.4429
0.9162,0.0767,0.8935
0.3438,0.7546,0.358
0.6581,0.7096,0.6696
0.5063,0.597,0.7697
0.4018,0.6144,0.489
0.902,0.6581,0.4621
0.8787,0.6682,0.569
0.2853,0.1657,0.4915
0.5957,0.7186,0.5322
0.4051,0.5543,0.6624
0.8207,0.7827,0.4172
0.5138,0.6579,0.4244
0.9957,0.0887,0.851
0.5388,0.3169,0.7431
0.3118,0.1333,0.2603
0.4686,0.306,0.7859
0.256,0.2872,0.4296
0.9996,0.5544,0.3972
0.7002,0.722,0.3879
0.2005,0.3775,0.1806
0.4995,0.2279,0.5837
0.873,0.3254,0.7159
0.28,0.5765,0.5516
0.6184,0.4951,0.4825
0.4815,0.7656,0.2401
0.7793,0.7644,0.5413
0.4177,0.5148,0.8387
0.4072,0.6361,0.6146
0.7716,0.6551,0.5309
0.4129,0.1466,0.8965
0.0825,0.3814,0.1658
0.4616,0.6814,0.5817
0.6498,0.5606,0.5111
0.6439,0.7896,0.5108
0.8785,0.7143,0.3323
0.1835,0.3541,0
0.8514,0.7885,0.427
0.5844,0.3763,0.7036
0.3602,0.0707,0.3596
0.8657,0.6067,0.3252
0.7046,0.6892,0.2791
0.84,0.7846,0.3844
0.1559,0.6773,0.7535
0.4742,0.3567,0.43
